"","cik","company.name","form.type","date.filed","url","file.path","file.name"
"713205","794367","Macy's, Inc.","10-K","2019-04-03","edgar/data/794367/0000794367-19-000038.txt","Data/K10_280.txt","K10_280.txt"
"719007","827054","MICROCHIP TECHNOLOGY INC","10-K","2019-05-30","edgar/data/827054/0000827054-19-000143.txt","Data/K10_281.txt","K10_281.txt"
"736280","910521","DECKERS OUTDOOR CORP","10-K","2019-05-30","edgar/data/910521/0000910521-19-000011.txt","Data/K10_282.txt","K10_282.txt"
"737469","91419","J M SMUCKER Co","10-K","2019-06-17","edgar/data/91419/0000091419-19-000005.txt","Data/K10_283.txt","K10_283.txt"
"746543","1001250","ESTEE LAUDER COMPANIES INC","10-K","2019-08-23","edgar/data/1001250/0001104659-19-047085.txt","Data/K10_284.txt","K10_284.txt"
"753865","1048911","FEDEX CORP","10-K","2019-07-16","edgar/data/1048911/0001564590-19-025065.txt","Data/K10_285.txt","K10_285.txt"
"756422","106040","WESTERN DIGITAL CORP","10-K","2019-08-27","edgar/data/106040/0000106040-19-000058.txt","Data/K10_286.txt","K10_286.txt"
"762761","110621","RPM INTERNATIONAL INC/DE/","10-K","2019-07-24","edgar/data/110621/0001564590-19-025795.txt","Data/K10_287.txt","K10_287.txt"
"765121","1116132","TAPESTRY, INC.","10-K","2019-08-15","edgar/data/1116132/0001116132-19-000016.txt","Data/K10_288.txt","K10_288.txt"
"767554","1137789","Seagate Technology plc","10-K","2019-08-02","edgar/data/1137789/0001193125-19-212028.txt","Data/K10_289.txt","K10_289.txt"
"797223","1383312","BROADRIDGE FINANCIAL SOLUTIONS, INC.","10-K","2019-08-06","edgar/data/1383312/0001383312-19-000042.txt","Data/K10_290.txt","K10_290.txt"
"834219","1596783","Catalent, Inc.","10-K","2019-08-27","edgar/data/1596783/0001596783-19-000183.txt","Data/K10_291.txt","K10_291.txt"
"853632","16732","CAMPBELL SOUP CO","10-K","2019-09-26","edgar/data/16732/0000016732-19-000070.txt","Data/K10_292.txt","K10_292.txt"
